NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.407555,0.3085001,8.307555,15,3,3,27,27,27,1,2,23,25,17,27,0.1014298,1
0,1,2,2,0,0.9075544,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,25,17,27,0.2010116,1
0,1,2,2,0,1.407554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,25,17,27,0.3029406,1
0,1,2,2,0,1.907554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,25,17,27,0.401995,1
0,1,2,2,0,2.407553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,25,17,27,0.5010491,1
0,1,2,2,0,2.907553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,25,17,27,0.6044021,1
0,1,2,2,0,3.407552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,25,17,27,0.7022005,1
0,1,2,2,0,3.907552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,23,25,17,27,0.8013079,1
0,1,2,2,0,4.407551,8.3085,0.3085001,15,3,3,27,27,27,1,2,23,25,17,27,0.9020369,1
1,1,2,1,19.70756,4.90755,0.3085001,0.3075551,15,3,3,27,27,27,1,2,23,25,17,27,1.001862,1
1,1,2,1,19.20756,5.40755,0.3085001,0.3075551,15,3,3,27,27,27,1,2,23,25,17,27,1.103008,1
1,1,2,1,18.70756,5.907552,0.3085001,0.3075551,15,3,3,27,27,27,1,2,23,25,17,27,1.203222,1
1,1,2,1,18.20756,6.407555,0.3085001,0.3075551,15,3,3,27,27,27,1,2,23,25,17,27,1.301783,1
